order_id,Timestamp,Order_details,Amount_ordered,Price
1,2016-01-01 00:00:00,['hawaiian_m'],1,13.25
2,2016-01-01 00:00:00,"['classic_dlx_m', 'five_cheese_l', 'five_cheese_l', 'mexicana_m', 'thai_ckn_l']",5,89.75
3,2016-01-01 12:12:00,"['ital_supr_m', 'prsc_argla_l']",2,37.25
4,2016-01-01 12:16:31,['ital_supr_m'],1,16.5
5,2016-01-01 00:00:00,['ital_supr_m'],1,16.5
6,2016-01-01 12:29:36,"['ital_supr_m', 'ital_supr_m']",2,33.0
7,2016-01-01 12:50:00,['ital_supr_m'],1,16.5
8,2016-01-01 12:51:00,['spinach_supr_s'],1,12.5
9,2016-01-01 12:52:01,"['classic_dlx_s', 'green_garden_s', 'green_garden_s', 'ital_supr_l', 'ital_supr_l', 'mexicana_s', 'spicy_ital_l', 'spin_pesto_l', 'veggie_veg_s']",9,143.0
10,2016-01-01 12:52:01,"['mexicana_l', 'southw_ckn_l']",2,41.0
11,2016-01-01 13:02:59,"['bbq_ckn_l', 'cali_ckn_l', 'cali_ckn_l', 'pepperoni_l']",4,77.5
12,2016-01-01 13:04:41,"['cali_ckn_l', 'cali_ckn_s', 'ckn_pesto_l', 'ital_supr_m']",4,70.75
13,2016-01-01 13:11:55,['mexicana_l'],1,20.25
14,2016-01-01 13:11:55,['the_greek_s'],1,12.0
15,2016-01-01 13:11:55,"['big_meat_s', 'big_meat_s', 'soppressata_l', 'the_greek_s']",4,56.75
16,2016-01-01 13:11:55,"['four_cheese_l', 'napolitana_s', 'thai_ckn_l']",3,50.7
17,2016-01-01 13:11:55,"['bbq_ckn_l', 'calabrese_m', 'five_cheese_l', 'four_cheese_m', 'ital_supr_m', 'ital_veggie_s', 'mediterraneo_m', 'mediterraneo_m', 'mexicana_l', 'mexicana_l', 'peppr_salami_s', 'spinach_fet_l']",12,204.75
18,2016-01-01 00:00:00,['napolitana_l'],1,20.5
19,2016-01-01 00:00:00,"['napolitana_l', 'sicilian_l']",2,40.75
20,2016-01-01 00:00:00,"['big_meat_s', 'five_cheese_l']",2,30.5
21,2016-01-01 14:14:29,['ital_cpcllo_l'],1,20.5
22,2016-01-01 14:14:29,"['five_cheese_l', 'five_cheese_l', 'southw_ckn_l']",3,57.75
23,2016-01-01 00:00:00,['southw_ckn_l'],1,20.75
24,2016-01-01 00:00:00,"['bbq_ckn_m', 'ital_cpcllo_m', 'pepperoni_m', 'pepperoni_m']",4,57.75
25,2016-01-01 00:00:00,"['sicilian_m', 'thai_ckn_l']",2,37.0
26,2016-01-01 00:00:00,"['classic_dlx_s', 'veggie_veg_l']",2,32.25
27,2016-01-01 00:00:00,"['bbq_ckn_l', 'classic_dlx_m', 'classic_dlx_m']",3,52.75
28,2016-01-01 00:00:00,['ckn_alfredo_s'],1,12.75
29,2016-01-01 00:00:00,['green_garden_s'],1,12.0
30,2016-01-01 00:00:00,['green_garden_s'],1,12.0
31,2016-01-01 00:00:00,"['mexicana_m', 'mexicana_m']",2,32.0
32,2016-01-01 15:53:18,"['big_meat_s', 'big_meat_s', 'ital_cpcllo_l', 'ital_supr_m']",4,61.0
33,2016-01-01 15:53:18,"['bbq_ckn_l', 'green_garden_s']",2,32.75
34,2016-01-01 15:53:18,['green_garden_s'],1,12.0
35,2016-01-01 15:53:18,"['green_garden_m', 'pep_msh_pep_l', 'pepperoni_m', 'pepperoni_m']",4,58.5
36,2016-01-01 15:53:18,"['bbq_ckn_m', 'classic_dlx_m']",2,32.75
37,2016-01-01 16:56:09,"['ital_supr_l', 'mexicana_l']",2,41.0
38,2016-01-01 16:56:09,"['hawaiian_s', 'ital_cpcllo_l']",2,31.0
39,2016-01-01 16:56:09,['ital_supr_l'],1,20.75
40,2016-01-01 00:00:00,"['four_cheese_l', 'southw_ckn_s']",2,30.7
41,2016-01-01 00:00:00,"['southw_ckn_s', 'green_garden_s']",2,24.75
42,2016-01-01 17:28:09,"['big_meat_s', 'five_cheese_l', 'five_cheese_l', 'peppr_salami_m']",4,65.5
43,2016-01-01 17:28:09,"['ckn_alfredo_m', 'ital_supr_m', 'ital_supr_m']",3,49.75
44,2016-01-01 17:28:09,['spin_pesto_s'],1,12.5
45,2016-01-01 00:00:00,"['four_cheese_l', 'hawaiian_s', 'thai_ckn_m']",3,45.2
46,2016-01-01 00:00:00,"['ckn_pesto_l', 'classic_dlx_l', 'thai_ckn_m']",3,58.0
47,2016-01-01 00:00:00,"['southw_ckn_l', 'veggie_veg_s']",2,32.75
48,2016-01-01 00:00:00,"['ckn_pesto_m', 'green_garden_s', 'green_garden_s', 'spicy_ital_l']",4,61.5
49,2016-01-01 00:00:00,['sicilian_l'],1,20.25
50,2016-01-01 00:00:00,['the_greek_xl'],1,25.5
51,2016-01-01 00:00:00,"['bbq_ckn_l', 'pep_msh_pep_l']",2,38.25
52,2016-01-01 00:00:00,"['hawaiian_l', 'mexicana_l', 'spicy_ital_l']",3,57.5
53,2016-01-01 18:54:17,"['pep_msh_pep_s', 'spinach_supr_m']",2,27.5
54,2016-01-01 18:54:17,"['prsc_argla_m', 'thai_ckn_l']",2,37.25
55,2016-01-01 19:03:19,"['peppr_salami_s', 'spicy_ital_l']",2,33.25
56,2016-01-01 19:07:00,"['classic_dlx_m', 'mediterraneo_l', 'southw_ckn_m']",3,53.0
57,2016-01-01 19:07:00,['classic_dlx_m'],1,16.0
58,2016-01-01 19:07:00,"['classic_dlx_m', 'classic_dlx_m']",2,32.0
59,2016-01-01 19:40:08,"['ital_veggie_s', 'pep_msh_pep_s', 'pepperoni_l']",3,39.0
60,2016-01-01 19:40:08,"['ckn_pesto_l', 'four_cheese_m']",2,35.5
61,2016-01-01 20:08:43,"['bbq_ckn_m', 'ital_supr_l']",2,37.5
62,2016-01-01 20:08:43,"['bbq_ckn_m', 'bbq_ckn_m']",2,33.5
63,2016-01-01 20:51:42,['pep_msh_pep_m'],1,14.5
64,2016-01-01 20:51:42,['pep_msh_pep_m'],1,14.5
65,2016-01-01 20:51:42,"['pep_msh_pep_s', 'sicilian_s', 'spicy_ital_s', 'spinach_supr_m']",4,52.25
66,2016-01-01 21:47:55,"['classic_dlx_m', 'ital_cpcllo_m']",2,32.0
67,2016-01-01 21:47:55,['southw_ckn_l'],1,20.75
68,2016-01-01 22:07:32,"['classic_dlx_m', 'ital_supr_l', 'ital_supr_m']",3,53.25
69,2016-01-01 22:07:32,['bbq_ckn_l'],1,20.75
70,2016-01-02 11:38:51,"['ital_veggie_s', 'soppressata_l']",2,33.5
71,2016-01-02 11:40:50,['thai_ckn_l'],1,20.75
72,2016-01-02 11:57:00,['spinach_fet_l'],1,20.25
73,2016-01-02 11:57:00,['thai_ckn_s'],1,12.75
74,2016-02-01 11:57:00,"['five_cheese_l', 'five_cheese_l', 'spin_pesto_s', 'spinach_supr_l']",4,70.25
75,2016-01-02 11:57:00,"['ital_supr_s', 'mediterraneo_l', 'mediterraneo_l']",3,53.0
76,2016-01-02 12:21:17,"['big_meat_s', 'hawaiian_l', 'ital_veggie_l', 'spicy_ital_l']",4,70.25
77,2016-01-02 12:22:00,"['bbq_ckn_m', 'hawaiian_m']",2,30.0
78,2016-01-02 12:22:00,"['big_meat_s', 'classic_dlx_s', 'four_cheese_l', 'four_cheese_l', 'spicy_ital_l', 'spicy_ital_l', 'spicy_ital_l', 'thai_ckn_s', 'thai_ckn_s', 'thai_ckn_s']",10,160.4
79,2016-02-01 00:00:00,"['thai_ckn_s', 'thai_ckn_s', 'thai_ckn_s', 'pep_msh_pep_s', 'thai_ckn_l']",5,70.0
80,2016-01-02 12:35:38,"['pepperoni_s', 'thai_ckn_m']",2,26.5
81,2016-01-02 12:40:00,['thai_ckn_l'],1,20.75
82,2016-01-02 12:45:51,"['big_meat_s', 'big_meat_s', 'big_meat_s', 'veggie_veg_m']",4,52.0
83,2016-01-02 12:45:51,['southw_ckn_s'],1,12.75
84,2016-01-02 12:45:51,['pepperoni_l'],1,15.25
85,2016-01-02 12:45:51,"['classic_dlx_m', 'classic_dlx_s', 'ital_supr_l', 'the_greek_m']",4,64.75
86,2016-01-02 12:45:51,['hawaiian_l'],1,16.5
87,2016-02-01 00:00:00,"['ital_cpcllo_m', 'ital_cpcllo_m', 'spinach_supr_l', 'spinach_supr_l']",4,73.5
88,2016-01-02 00:00:00,['five_cheese_l'],1,18.5
89,2016-01-02 14:30:19,"['soppressata_l', 'thai_ckn_l']",2,41.5
90,2016-01-02 14:30:19,"['sicilian_l', 'thai_ckn_s']",2,33.0
91,2016-01-02 15:14:43,"['bbq_ckn_l', 'ckn_pesto_s', 'pepperoni_s']",3,43.25
92,2016-02-01 00:00:00,"['bbq_ckn_m', 'ital_supr_l', 'ital_supr_m', 'ital_veggie_s', 'pepperoni_m', 'pepperoni_m', 'spinach_fet_s', 'spinach_supr_s', 'the_greek_m', 'the_greek_m']",10,148.25
93,2016-01-02 00:00:00,['the_greek_m'],1,16.0
94,2016-01-02 00:00:00,"['ital_cpcllo_m', 'southw_ckn_s']",2,28.75
95,2016-01-02 16:18:04,"['napolitana_s', 'peppr_salami_l']",2,32.75
96,2016-01-02 16:18:04,['peppr_salami_l'],1,20.75
97,2016-01-02 16:18:04,['big_meat_s'],1,12.0
98,2016-02-01 16:18:04,"['classic_dlx_l', 'napolitana_l']",2,41.0
99,2016-02-01 00:00:00,['ital_supr_l'],1,20.75
100,2016-02-01 00:00:00,['hawaiian_l'],1,16.5
101,2016-01-02 17:51:33,"['cali_ckn_l', 'pepperoni_l', 'soppressata_l', 'spicy_ital_m']",4,73.25
102,2016-02-01 00:00:00,"['spicy_ital_m', 'prsc_argla_s']",2,29.0
103,2016-02-01 00:00:00,['spinach_supr_s'],1,12.5
104,2016-01-02 00:00:00,"['bbq_ckn_m', 'bbq_ckn_m', 'ital_veggie_m', 'veggie_veg_l']",4,70.5
105,2016-01-02 18:12:01,"['hawaiian_s', 'hawaiian_s', 'hawaiian_s', 'prsc_argla_m']",4,48.0
106,2016-01-02 18:12:01,"['mexicana_l', 'spicy_ital_l']",2,41.0
107,2016-01-02 18:12:01,"['cali_ckn_l', 'ital_supr_m', 'spicy_ital_l', 'veggie_veg_l']",4,78.25
108,2016-01-02 18:25:25,"['classic_dlx_l', 'hawaiian_l', 'spinach_supr_l']",3,57.75
109,2016-01-02 18:27:50,"['ital_cpcllo_l', 'ital_supr_l', 'pepperoni_m', 'prsc_argla_l']",4,74.5
110,2016-01-02 18:27:50,"['big_meat_s', 'napolitana_l', 'napolitana_l', 'spicy_ital_s']",4,65.5
111,2016-01-02 18:38:01,"['cali_ckn_m', 'cali_ckn_m', 'pepperoni_m', 'spin_pesto_l']",4,66.75
112,2016-02-01 18:38:01,['pepperoni_s'],1,9.75
113,2016-01-02 18:38:01,"['cali_ckn_l', 'mexicana_l', 'southw_ckn_m']",3,57.75
114,2016-02-01 00:00:00,"['pepperoni_l', 'sicilian_s']",2,27.5
115,2016-01-02 19:05:17,"['big_meat_s', 'napolitana_l', 'thai_ckn_m']",3,49.25
116,2016-01-02 19:05:17,['five_cheese_l'],1,18.5
117,2016-01-02 19:23:02,"['peppr_salami_m', 'sicilian_l']",2,36.75
118,2016-01-02 19:23:02,"['prsc_argla_l', 'spinach_fet_s']",2,32.75
119,2016-01-02 19:23:02,['four_cheese_m'],1,14.75
120,2016-01-02 19:35:07,"['classic_dlx_s', 'hawaiian_s', 'spinach_fet_l']",3,42.75
121,2016-01-02 19:38:48,"['bbq_ckn_m', 'four_cheese_l', 'sicilian_l', 'southw_ckn_l']",4,75.7
122,2016-01-02 19:38:48,['ital_supr_m'],1,16.5
123,2016-01-02 19:38:48,['ital_cpcllo_s'],1,12.0
124,2016-01-02 20:12:34,"['bbq_ckn_s', 'sicilian_l', 'spicy_ital_l', 'the_greek_s']",4,65.75
