week,Alfredo Sauce,Anchovies,Artichoke,Artichokes,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomato Sauce,Tomatoes,Zucchini,Nduja Salami
00,5,13,20,55,13,29,56,31,31,13,22,1,30,83,1,81,38,28,38,15,38,9,42,26,3,271,15,38,15,20,70,58,28,58,30,15,491,87,15,17,3,15,1,21,110,26,45,8,1,13,22,205,182,15,22,18,22,6,93,16,27,1,364,288,27,3
01,30,26,46,111,30,87,91,28,28,27,29,9,41,138,9,163,59,35,59,36,59,19,108,59,16,568,35,62,41,46,134,84,35,105,61,36,974,224,36,21,16,41,9,41,222,59,85,12,9,30,29,389,309,41,29,46,29,13,223,29,39,9,759,515,53,16
02,12,32,43,101,25,59,65,48,48,21,29,6,38,129,6,162,70,30,70,54,70,19,79,56,17,528,33,58,31,43,137,101,30,113,51,54,926,155,54,24,17,31,6,34,195,53,91,16,6,25,29,364,302,31,29,45,29,13,181,34,46,6,697,529,51,17
03,15,42,55,112,36,60,83,52,52,21,39,8,45,127,8,161,50,38,50,36,50,27,88,76,12,571,30,52,38,55,141,121,38,105,56,36,989,197,36,21,12,38,8,31,213,68,86,20,8,36,39,379,311,38,39,40,39,21,211,39,46,8,758,520,60,12
04,19,34,38,106,33,57,74,48,48,31,25,10,23,111,10,132,57,33,57,38,57,22,86,55,18,524,22,66,39,38,107,97,33,95,64,38,883,164,38,31,18,39,10,35,175,55,73,17,10,33,25,359,302,39,25,35,25,17,171,33,38,10,666,487,51,18
05,18,17,50,109,32,71,85,55,55,30,32,15,41,155,15,174,62,33,62,35,62,14,100,63,27,598,30,84,41,50,113,126,33,112,64,35,1035,213,35,47,27,41,15,37,218,57,94,11,15,32,32,419,356,41,32,49,32,13,230,35,45,15,798,570,58,27
06,21,20,47,128,36,63,64,61,61,36,33,12,37,126,12,166,78,29,78,51,78,27,94,67,11,575,18,71,42,47,133,123,29,125,75,51,1001,181,51,28,11,42,12,43,191,68,78,15,12,36,33,386,337,42,33,43,33,20,200,34,35,12,738,565,57,11
07,15,33,47,98,33,48,79,47,47,23,21,11,35,111,11,199,70,35,70,32,70,22,96,66,22,528,22,54,37,47,126,107,35,117,55,32,968,190,32,26,22,37,11,28,177,72,106,21,11,33,21,388,354,37,21,51,21,19,222,37,55,11,709,543,63,22
08,18,30,50,120,24,88,79,36,36,22,33,5,27,133,5,170,54,40,54,45,54,20,92,69,20,556,41,65,36,50,128,105,40,104,70,45,976,196,45,31,20,36,5,34,238,59,93,19,5,24,33,351,296,36,33,48,33,19,220,37,45,5,764,531,52,20
09,21,21,46,89,26,66,67,33,33,20,21,10,31,115,10,144,63,29,63,24,63,20,67,59,12,436,30,54,26,46,88,82,29,109,48,24,778,155,24,27,12,26,10,27,161,41,81,13,10,26,21,316,266,26,21,51,21,13,156,27,30,10,590,413,47,12
10,25,20,46,103,33,66,96,63,63,21,34,15,40,130,15,206,92,45,92,29,92,19,103,61,19,582,26,64,60,46,117,119,45,138,52,29,1076,213,29,35,19,60,15,29,213,69,109,16,15,33,34,427,399,60,34,48,34,15,220,40,61,15,766,574,46,19
11,18,40,40,105,30,75,85,52,52,26,23,7,32,139,7,151,55,41,55,39,55,18,102,63,15,565,40,67,48,40,136,121,41,95,55,39,987,218,39,27,15,48,7,40,212,54,98,12,7,30,23,382,307,48,23,55,23,23,201,30,43,7,765,537,50,15
